tmax,tmin,tmed,year
287.2,285.3,286.2,1979
288.6,284.5,286.6,1979
290.6,281.2,285.9,1979
290.3,280.1,285.2,1979
290.2,279.4,284.8,1979
283.4,279.9,281.6,1979
282.7,278.1,280.4,1979
282.4,277.7,280.1,1979
285.2,275.9,280.6,1979
286.1,277.2,281.7,1979
284.8,275.2,280.0,1979
288.4,274.9,281.6,1979
291.3,276.4,283.8,1979
289.6,279.3,284.4,1979
290.6,277.2,283.9,1979
293.5,280.0,286.8,1979
292.0,279.7,285.9,1979
291.8,279.3,285.5,1979
291.6,277.8,284.7,1979
291.2,275.4,283.3,1979
288.6,275.3,281.9,1979
283.8,274.4,279.1,1979
284.0,272.0,278.0,1979
283.4,269.8,276.6,1979
282.0,275.9,278.9,1979
284.3,277.7,281.0,1979
279.0,275.6,277.3,1979
279.7,273.8,276.8,1979
282.7,272.0,277.4,1979
287.3,277.3,282.3,1979
284.0,274.9,279.4,1979
287.3,274.9,281.1,1980
290.0,274.9,282.4,1980
290.7,276.7,283.7,1980
292.7,276.3,284.5,1980
291.6,280.2,285.9,1980
291.5,280.6,286.1,1980
289.7,278.7,284.2,1980
293.3,278.2,285.8,1980
293.3,279.2,286.2,1980
294.8,279.3,287.0,1980
296.9,282.1,289.5,1980
293.8,281.3,287.5,1980
294.8,278.1,286.4,1980
293.9,279.6,286.8,1980
291.2,278.6,284.9,1980
287.6,277.4,282.5,1980
285.7,275.0,280.4,1980
280.2,270.1,275.2,1980
281.5,268.7,275.1,1980
285.9,280.5,283.2,1980
283.4,281.8,282.6,1980
284.3,280.7,282.5,1980
283.5,279.4,281.4,1980
283.2,280.0,281.6,1980
286.2,280.2,283.2,1980
284.5,273.8,279.1,1980
283.8,271.2,277.5,1980
284.4,271.7,278.1,1980
285.6,272.6,279.1,1980
285.3,272.1,278.7,1980
287.1,275.0,281.1,1980
295.9,282.0,288.9,1981
293.1,278.8,285.9,1981
287.7,274.4,281.1,1981
287.7,274.6,281.2,1981
289.6,275.7,282.7,1981
289.6,275.9,282.8,1981
286.1,276.4,281.2,1981
287.6,274.2,280.9,1981
292.5,275.6,284.1,1981
291.9,275.2,283.6,1981
291.7,275.6,283.7,1981
295.6,280.6,288.1,1981
295.3,282.5,288.9,1981
295.2,277.9,286.6,1981
295.7,279.2,287.5,1981
295.1,281.5,288.3,1981
294.0,279.2,286.6,1981
295.7,280.0,287.9,1981
293.6,278.8,286.2,1981
293.5,278.4,285.9,1981
289.2,277.9,283.6,1981
290.2,278.6,284.4,1981
289.8,276.4,283.1,1981
293.5,276.5,285.0,1981
291.8,279.2,285.5,1981
287.8,275.8,281.8,1981
290.4,273.5,281.9,1981
291.6,277.4,284.5,1981
289.7,277.8,283.8,1981
289.2,276.6,282.9,1981
290.6,277.4,284.0,1981
289.4,281.6,285.5,1982
291.5,283.5,287.5,1982
288.3,280.8,284.5,1982
284.3,276.9,280.6,1982
285.9,276.3,281.1,1982
290.6,277.0,283.8,1982
292.3,279.4,285.8,1982
292.8,281.8,287.3,1982
291.2,280.2,285.7,1982
291.8,278.7,285.2,1982
292.5,278.6,285.6,1982
291.9,280.3,286.1,1982
293.1,278.9,286.0,1982
291.4,280.2,285.8,1982
291.4,279.4,285.4,1982
290.8,278.2,284.5,1982
290.0,278.8,284.4,1982
285.8,279.2,282.5,1982
284.0,281.9,282.9,1982
283.2,279.4,281.3,1982
282.5,277.5,280.0,1982
285.7,276.4,281.1,1982
287.7,277.0,282.4,1982
286.5,276.1,281.3,1982
286.3,279.5,282.9,1982
283.5,276.6,280.1,1982
281.8,276.2,279.0,1982
282.4,276.5,279.4,1982
286.3,276.8,281.5,1982
286.3,275.1,280.7,1982
287.5,276.5,282.0,1982
299.2,283.7,291.5,1983
298.7,280.7,289.7,1983
297.6,281.6,289.6,1983
294.0,283.9,288.9,1983
292.7,281.4,287.1,1983
292.6,280.1,286.4,1983
291.0,277.7,284.4,1983
295.0,278.6,286.8,1983
290.9,282.1,286.5,1983
288.6,277.4,283.0,1983
284.7,274.0,279.4,1983
288.4,274.8,281.6,1983
290.5,277.0,283.8,1983
290.0,277.2,283.6,1983
285.1,280.8,282.9,1983
286.8,282.6,284.7,1983
286.8,283.8,285.3,1983
284.6,282.7,283.7,1983
288.3,281.0,284.6,1983
290.0,283.7,286.9,1983
288.3,283.8,286.0,1983
284.5,281.1,282.8,1983
286.1,278.4,282.2,1983
285.9,280.5,283.2,1983
289.7,281.6,285.7,1983
287.2,280.5,283.9,1983
283.9,281.1,282.5,1983
285.4,281.7,283.6,1983
285.5,280.3,282.9,1983
286.3,278.4,282.3,1983
285.6,280.1,282.9,1983
285.7,282.6,284.2,1984
288.7,284.3,286.5,1984
292.2,282.8,287.5,1984
293.6,280.0,286.8,1984
295.1,279.9,287.5,1984
295.3,280.5,287.9,1984
292.8,281.0,286.9,1984
290.8,279.5,285.1,1984
290.5,281.8,286.1,1984
294.0,280.7,287.4,1984
294.5,281.2,287.9,1984
290.4,279.4,284.9,1984
288.1,280.3,284.2,1984
288.2,282.0,285.1,1984
285.9,278.3,282.1,1984
286.7,276.1,281.4,1984
281.2,274.9,278.1,1984
282.5,275.7,279.1,1984
281.9,279.2,280.6,1984
285.0,281.0,283.0,1984
285.0,281.9,283.4,1984
282.9,277.6,280.2,1984
282.2,274.1,278.2,1984
290.4,278.8,284.6,1984
287.8,281.1,284.4,1984
282.8,279.8,281.3,1984
282.0,276.7,279.4,1984
282.3,276.8,279.5,1984
286.1,276.8,281.4,1984
285.7,274.5,280.1,1984
283.5,280.2,281.9,1984
296.4,283.2,289.8,1985
296.6,282.4,289.5,1985
296.5,284.3,290.4,1985
295.1,282.4,288.8,1985
294.3,281.0,287.6,1985
293.9,280.7,287.3,1985
293.0,278.8,285.9,1985
290.3,279.2,284.8,1985
292.8,281.1,286.9,1985
292.3,278.0,285.1,1985
292.1,277.6,284.9,1985
291.4,277.2,284.3,1985
290.0,275.7,282.9,1985
282.5,276.2,279.4,1985
287.2,278.3,282.8,1985
286.9,283.4,285.1,1985
290.4,286.0,288.2,1985
291.1,287.2,289.2,1985
295.6,284.9,290.2,1985
295.3,284.2,289.8,1985
295.8,282.9,289.3,1985
295.4,282.2,288.8,1985
292.3,279.7,286.0,1985
286.5,280.8,283.6,1985
284.3,274.6,279.4,1985
283.3,274.1,278.7,1985
285.3,277.1,281.2,1985
285.7,275.4,280.6,1985
286.8,273.5,280.1,1985
284.8,273.6,279.2,1985
280.5,272.0,276.2,1985
293.1,279.7,286.4,1986
295.0,282.3,288.6,1986
296.2,280.8,288.5,1986
291.0,281.2,286.1,1986
288.7,277.6,283.2,1986
288.9,280.2,284.6,1986
288.1,279.3,283.7,1986
291.7,278.4,285.1,1986
293.9,280.5,287.2,1986
293.0,281.7,287.4,1986
291.2,279.9,285.6,1986
291.1,279.3,285.2,1986
291.3,277.3,284.3,1986
291.3,278.9,285.1,1986
291.2,276.1,283.7,1986
290.7,277.2,284.0,1986
290.2,275.4,282.8,1986
290.6,277.4,284.0,1986
291.2,274.2,282.7,1986
287.3,274.3,280.8,1986
287.0,273.8,280.4,1986
287.1,273.3,280.2,1986
285.6,275.7,280.7,1986
288.4,281.2,284.8,1986
282.6,281.5,282.1,1986
284.7,281.6,283.2,1986
283.4,279.2,281.3,1986
286.4,276.4,281.4,1986
286.5,277.7,282.1,1986
285.2,275.0,280.1,1986
284.4,270.9,277.6,1986
288.1,278.3,283.2,1987
286.8,274.5,280.6,1987
286.0,278.4,282.2,1987
287.8,278.4,283.1,1987
291.0,280.2,285.6,1987
293.6,284.1,288.9,1987
296.1,284.0,290.1,1987
288.4,283.8,286.1,1987
284.6,279.6,282.1,1987
285.5,279.4,282.4,1987
288.4,276.6,282.5,1987
284.6,278.2,281.4,1987
291.8,281.7,286.8,1987
293.7,281.4,287.6,1987
287.3,283.2,285.2,1987
285.4,283.5,284.4,1987
288.1,283.9,286.0,1987
287.8,280.0,283.9,1987
284.4,282.1,283.2,1987
285.9,282.3,284.1,1987
286.4,281.6,284.0,1987
286.1,281.0,283.6,1987
288.2,278.1,283.2,1987
287.9,274.9,281.4,1987
282.5,277.5,280.0,1987
284.1,276.5,280.3,1987
285.5,274.7,280.1,1987
286.9,275.9,281.4,1987
289.5,278.7,284.1,1987
289.9,276.8,283.3,1987
289.7,277.1,283.4,1987
286.0,278.7,282.4,1988
288.2,275.9,282.1,1988
290.1,277.1,283.6,1988
290.5,275.4,282.9,1988
292.2,278.7,285.5,1988
292.0,278.7,285.4,1988
293.2,277.8,285.5,1988
296.0,279.6,287.8,1988
293.1,282.7,287.9,1988
293.2,281.8,287.5,1988
294.2,279.9,287.1,1988
292.6,282.2,287.4,1988
286.6,278.7,282.7,1988
291.4,277.4,284.4,1988
290.5,281.6,286.1,1988
293.6,280.7,287.2,1988
290.3,281.6,285.9,1988
290.6,280.9,285.8,1988
289.3,280.9,285.1,1988
286.0,282.4,284.2,1988
288.2,285.0,286.6,1988
285.4,281.0,283.2,1988
290.0,279.6,284.8,1988
286.3,283.2,284.8,1988
290.4,284.6,287.5,1988
288.6,282.4,285.5,1988
290.2,282.3,286.2,1988
290.7,280.0,285.4,1988
290.0,277.6,283.8,1988
288.2,276.6,282.4,1988
288.2,274.1,281.2,1988
293.6,278.3,285.9,1989
295.5,278.1,286.8,1989
298.1,279.9,289.0,1989
296.0,284.4,290.2,1989
295.8,281.6,288.7,1989
294.9,277.6,286.2,1989
293.0,277.6,285.3,1989
289.6,284.3,286.9,1989
290.2,280.9,285.6,1989
293.5,279.1,286.3,1989
295.4,280.2,287.8,1989
296.0,280.2,288.1,1989
294.7,278.4,286.6,1989
291.5,278.6,285.1,1989
283.8,275.5,279.6,1989
286.4,273.9,280.1,1989
285.4,279.9,282.6,1989
285.0,279.7,282.4,1989
288.3,280.1,284.2,1989
289.6,278.3,283.9,1989
289.7,279.4,284.6,1989
289.0,279.2,284.1,1989
288.4,280.6,284.5,1989
292.0,282.1,287.1,1989
292.9,280.1,286.5,1989
285.1,282.4,283.8,1989
286.6,283.4,285.0,1989
287.6,279.1,283.4,1989
284.1,278.0,281.1,1989
281.7,279.5,280.6,1989
283.6,281.0,282.3,1989
287.1,279.9,283.5,1990
287.8,280.0,283.9,1990
285.8,282.5,284.1,1990
285.4,281.6,283.5,1990
288.0,281.3,284.6,1990
283.8,279.5,281.6,1990
286.4,279.4,282.9,1990
286.5,277.9,282.2,1990
285.0,280.2,282.6,1990
288.5,284.8,286.6,1990
289.5,286.1,287.8,1990
289.2,280.0,284.6,1990
287.2,278.3,282.8,1990
284.7,275.6,280.2,1990
285.4,273.3,279.3,1990
285.2,273.4,279.3,1990
284.2,273.8,279.0,1990
284.4,277.2,280.8,1990
284.7,282.0,283.4,1990
287.5,283.2,285.4,1990
288.2,280.6,284.4,1990
286.8,280.0,283.4,1990
288.7,277.6,283.2,1990
289.8,276.5,283.1,1990
289.9,276.5,283.2,1990
291.3,278.5,284.9,1990
291.1,278.0,284.6,1990
292.9,280.5,286.7,1990
293.4,281.6,287.5,1990
291.1,279.8,285.4,1990
289.8,278.2,284.0,1990
285.6,274.7,280.2,1991
285.5,273.7,279.6,1991
284.8,275.1,279.9,1991
286.1,274.5,280.3,1991
287.6,274.9,281.2,1991
288.5,277.1,282.8,1991
286.1,281.8,283.9,1991
283.1,280.4,281.8,1991
285.0,280.7,282.9,1991
288.7,279.9,284.3,1991
289.2,277.6,283.4,1991
290.5,277.7,284.1,1991
290.9,277.5,284.2,1991
290.1,277.3,283.7,1991
293.6,280.1,286.9,1991
287.5,278.1,282.8,1991
284.1,275.0,279.6,1991
284.5,274.5,279.5,1991
286.4,273.4,279.9,1991
288.9,275.8,282.3,1991
288.8,276.6,282.7,1991
285.5,275.7,280.6,1991
283.4,273.0,278.2,1991
286.0,271.2,278.6,1991
283.3,275.6,279.4,1991
282.6,280.2,281.4,1991
286.0,281.9,283.9,1991
286.2,278.3,282.2,1991
287.2,276.2,281.7,1991
285.9,277.5,281.7,1991
283.5,276.7,280.1,1991
283.9,279.8,281.8,1992
287.7,278.7,283.2,1992
284.7,275.8,280.2,1992
283.2,271.7,277.5,1992
288.0,279.1,283.6,1992
288.4,280.4,284.4,1992
290.8,277.2,284.0,1992
288.9,278.2,283.6,1992
286.8,281.3,284.0,1992
287.5,285.1,286.3,1992
288.3,285.4,286.8,1992
286.7,279.4,283.1,1992
281.6,276.0,278.8,1992
282.9,274.3,278.6,1992
286.3,272.7,279.5,1992
287.5,279.0,283.2,1992
289.9,278.6,284.2,1992
291.4,280.8,286.1,1992
291.0,277.9,284.4,1992
292.5,279.2,285.9,1992
292.3,279.4,285.8,1992
289.5,278.3,283.9,1992
289.2,276.3,282.8,1992
290.4,277.4,283.9,1992
288.4,279.3,283.8,1992
291.2,277.6,284.4,1992
288.1,276.5,282.3,1992
284.6,276.7,280.7,1992
283.6,276.5,280.1,1992
285.0,276.5,280.8,1992
288.2,279.4,283.8,1992
290.6,278.2,284.4,1993
286.5,276.4,281.4,1993
284.3,275.2,279.8,1993
283.5,275.0,279.2,1993
283.2,276.4,279.8,1993
285.7,274.8,280.2,1993
284.6,278.3,281.4,1993
283.2,279.9,281.6,1993
283.6,278.7,281.2,1993
287.1,277.3,282.2,1993
286.0,278.5,282.2,1993
285.3,280.4,282.8,1993
286.3,282.2,284.2,1993
285.7,281.4,283.6,1993
284.4,281.1,282.8,1993
285.6,280.2,282.9,1993
282.7,279.1,280.9,1993
280.9,276.2,278.6,1993
284.1,276.6,280.4,1993
284.4,277.9,281.1,1993
285.5,275.4,280.4,1993
286.1,273.8,279.9,1993
287.0,274.8,280.9,1993
287.0,278.5,282.8,1993
285.6,275.5,280.6,1993
286.7,276.3,281.5,1993
286.9,274.7,280.8,1993
284.2,272.2,278.2,1993
283.8,270.9,277.3,1993
283.6,270.7,277.2,1993
282.8,270.7,276.8,1993
285.5,279.2,282.4,1994
287.9,282.5,285.2,1994
288.1,285.9,287.0,1994
287.0,281.8,284.4,1994
286.6,280.4,283.5,1994
287.7,279.4,283.6,1994
290.8,282.0,286.4,1994
289.6,281.8,285.7,1994
288.7,280.0,284.4,1994
289.8,276.7,283.2,1994
290.5,276.5,283.5,1994
292.2,276.6,284.4,1994
291.0,278.8,284.9,1994
290.9,278.0,284.4,1994
288.5,278.9,283.7,1994
284.3,279.0,281.6,1994
282.2,276.6,279.4,1994
282.4,276.9,279.6,1994
285.3,280.8,283.0,1994
285.9,281.3,283.6,1994
287.8,281.4,284.6,1994
286.7,282.1,284.4,1994
290.5,282.6,286.6,1994
288.9,279.6,284.2,1994
286.7,277.0,281.9,1994
288.2,274.8,281.5,1994
289.6,275.5,282.6,1994
288.9,275.3,282.1,1994
289.2,278.6,283.9,1994
289.9,278.8,284.3,1994
291.2,279.3,285.2,1994
295.9,281.8,288.8,1995
294.6,282.6,288.6,1995
292.8,280.3,286.5,1995
295.8,278.7,287.2,1995
288.0,281.0,284.5,1995
290.7,283.0,286.9,1995
297.0,282.6,289.8,1995
295.4,281.0,288.2,1995
295.6,282.2,288.9,1995
291.3,279.3,285.3,1995
292.6,278.5,285.6,1995
292.2,281.4,286.8,1995
293.3,279.6,286.4,1995
292.0,283.8,287.9,1995
293.6,281.9,287.8,1995
294.0,280.8,287.4,1995
291.6,277.6,284.6,1995
290.2,277.8,284.0,1995
292.1,275.1,283.6,1995
295.6,281.0,288.3,1995
292.6,281.0,286.8,1995
286.2,280.5,283.4,1995
286.5,281.6,284.1,1995
282.5,278.0,280.2,1995
283.1,276.1,279.6,1995
285.6,274.6,280.1,1995
285.8,281.8,283.8,1995
286.0,282.5,284.2,1995
289.5,283.4,286.4,1995
291.4,284.7,288.1,1995
291.1,282.3,286.7,1995
295.4,284.8,290.1,1996
296.8,281.9,289.3,1996
297.9,283.5,290.7,1996
297.5,281.6,289.6,1996
297.9,280.8,289.3,1996
297.4,280.7,289.1,1996
296.4,282.0,289.2,1996
294.5,281.1,287.8,1996
295.2,278.8,287.0,1996
294.9,278.7,286.8,1996
290.4,281.0,285.7,1996
289.9,278.4,284.1,1996
290.9,275.1,283.0,1996
294.8,277.2,286.0,1996
295.6,280.5,288.1,1996
294.6,278.0,286.3,1996
293.0,276.8,284.9,1996
288.2,278.8,283.5,1996
289.9,275.1,282.5,1996
291.1,275.6,283.4,1996
292.5,279.1,285.8,1996
289.4,278.0,283.7,1996
288.0,277.1,282.6,1996
283.4,279.3,281.3,1996
283.2,278.9,281.1,1996
284.0,279.2,281.6,1996
282.5,276.7,279.6,1996
280.7,273.1,276.9,1996
281.0,271.2,276.1,1996
279.9,272.5,276.2,1996
280.4,272.4,276.4,1996
291.8,287.9,289.8,1997
292.3,285.8,289.0,1997
293.7,284.5,289.1,1997
290.6,282.0,286.3,1997
293.6,281.1,287.4,1997
293.7,281.6,287.7,1997
292.1,281.6,286.9,1997
290.1,281.8,285.9,1997
290.1,281.8,285.9,1997
289.0,277.1,283.1,1997
290.0,275.2,282.6,1997
289.3,275.9,282.6,1997
288.4,278.7,283.6,1997
283.9,279.7,281.8,1997
288.3,283.0,285.6,1997
286.9,281.9,284.4,1997
287.8,281.9,284.8,1997
288.4,278.5,283.4,1997
282.9,279.5,281.2,1997
285.0,282.5,283.8,1997
285.2,280.9,283.1,1997
283.9,280.3,282.1,1997
282.7,276.8,279.8,1997
281.7,276.8,279.2,1997
280.8,276.0,278.4,1997
287.1,278.6,282.9,1997
286.8,276.7,281.8,1997
287.0,275.1,281.1,1997
286.3,275.5,280.9,1997
285.7,278.2,282.0,1997
285.1,278.0,281.6,1997
289.4,276.7,283.1,1998
291.5,274.4,282.9,1998
292.8,274.4,283.6,1998
294.5,275.8,285.1,1998
295.4,281.5,288.4,1998
294.5,282.7,288.6,1998
292.4,281.5,286.9,1998
291.3,278.8,285.0,1998
293.7,278.1,285.9,1998
295.0,277.6,286.3,1998
293.1,280.0,286.6,1998
293.2,277.0,285.1,1998
292.2,278.8,285.5,1998
291.0,285.7,288.4,1998
289.6,285.5,287.6,1998
287.5,278.9,283.2,1998
286.1,275.6,280.9,1998
286.9,276.6,281.8,1998
287.1,276.8,281.9,1998
289.6,276.3,282.9,1998
290.9,276.1,283.5,1998
291.8,281.0,286.4,1998
290.4,281.4,285.9,1998
290.2,279.4,284.8,1998
286.7,277.2,282.0,1998
287.4,278.8,283.1,1998
286.8,277.6,282.2,1998
286.0,275.3,280.6,1998
286.1,272.8,279.4,1998
286.2,275.1,280.7,1998
283.8,272.5,278.1,1998
284.9,282.7,283.8,1999
286.5,281.5,284.0,1999
288.4,282.4,285.4,1999
286.6,283.0,284.8,1999
286.7,281.0,283.9,1999
285.5,279.1,282.3,1999
288.5,279.0,283.8,1999
293.6,281.9,287.8,1999
295.8,284.5,290.1,1999
294.0,284.9,289.4,1999
289.6,281.7,285.7,1999
291.1,279.2,285.2,1999
292.0,279.7,285.9,1999
289.3,279.8,284.5,1999
288.3,278.7,283.5,1999
287.9,274.9,281.4,1999
288.1,273.9,281.0,1999
290.7,278.5,284.6,1999
289.5,279.3,284.4,1999
291.6,277.2,284.4,1999
288.7,277.7,283.2,1999
287.1,277.7,282.4,1999
282.7,275.4,279.1,1999
277.8,275.6,276.7,1999
279.6,271.9,275.8,1999
278.8,270.8,274.8,1999
281.7,275.8,278.8,1999
281.9,274.1,278.0,1999
282.8,273.3,278.0,1999
285.3,274.3,279.8,1999
284.6,273.8,279.2,1999
295.5,279.7,287.6,2000
289.0,282.0,285.5,2000
288.0,283.0,285.5,2000
293.0,282.1,287.6,2000
293.9,284.2,289.1,2000
292.2,284.9,288.6,2000
293.0,283.8,288.4,2000
293.5,281.1,287.3,2000
293.7,281.3,287.5,2000
293.5,279.9,286.7,2000
290.0,280.1,285.1,2000
289.8,275.9,282.8,2000
286.3,277.7,282.0,2000
286.7,274.4,280.6,2000
284.0,279.0,281.5,2000
